index,gen
140,blaTEM-1
140,ble
140,dfrA14
140,oqxB
140,qnrB1
140,qnrS1
140,sul2
140,tet(A)
141,aac(3)-IIg
141,aac(6')-IIc
141,aac(6')-Ib3
141,aadA2
141,aph(3'')-Ib
141,aph(6)-Id
141,arr
141,blaACT-17
141,blaSHV-12
141,blaTEM-1
141,catA2
141,catA
141,dfrA19
141,fosA
141,mcr-9.1
141,qnrA1
141,sul1
141,sul2
141,tet(D)
142,blaACT-25
142,catA
142,fosA
142,oqxB
143,aadA2
143,blaCMH
143,blaSHV-12
143,blaSHV-1
143,fosA
143,oqxA
143,oqxB
143,sul1
144,blaACT-17
144,blaACT
144,dfrA14
144,oqxA
144,oqxB
144,qnrS1
145,blaACT
145,fosA
145,oqxA
145,oqxB
145,qnrE
146,aac(3)-IIe
146,aac(6')-Ib-cr5
146,aadA1
146,aph(3'')-Ib
146,aph(6)-Id
146,blaACT-52
146,blaCTX-M-15
146,blaOXA-1
146,blaTEM-1
146,catA1
146,dfrA14
146,fosA
146,oqxA
146,oqxB
146,qnrB1
146,sul2
146,tet(A)
147,aadA1
147,aadA2
147,blaACT-17
147,cmlA1
147,fosA
147,oqxA
147,oqxB
147,sul1
148,aac(3)-IId
148,aac(3)-IIg
148,aac(6')-IIc
148,aac(6')-Ib
148,aadA2
148,aph(3'')-Ib
148,aph(6)-Id
148,armA
148,arr
148,blaACT-75
148,blaCTX-M-15
148,blaTEM-1
148,dfrA12
148,dfrA19
148,fosA
148,mcr-9.1
148,mph(E)
148,msr(E)
148,oqxA
148,oqxB
148,sul1
148,sul2
149,aac(3)-IIg
149,aac(6')-IIc
149,aac(6')-Ib
149,aph(3'')-Ib
149,aph(3')-Ia
149,aph(6)-Id
149,arr
149,blaACT-24
149,blaIMP-8
149,blaSHV-12
149,blaTEM-1
149,catA2
149,catB3
149,dfrA15
149,fosA
149,mcr-9.1
149,oqxA
149,oqxB
149,sul1
149,sul2
150,aac(6')-Il
150,aadA1
150,aadA2
150,ant(2'')-Ia
150,blaACT-16
150,blaCTX-M-9
150,blaTEM-1
150,blaVIM-1
150,dfrA16
150,dfrA1
150,fosA
150,mcr-9.1
150,oqxA
150,oqxB
150,qnrA1
150,sul1
151,blaCMH
151,blaIMI-1
151,fosA
151,oqxB
152,blaMIR-16
152,catA
152,fosA
152,oqxB
153,ant(2'')-Ia
153,blaACT-70
153,blaIMP-13
153,blaLAP-2
153,blaTEM-1
153,catB3
153,dfrA19
153,ere(A)
153,fosA
153,oqxA
