index,#Organism group,Strain
447,Campylobacter jejuni,CVM N16C386
448,Campylobacter jejuni,CVM N16C284
449,Campylobacter jejuni,CVM N16C305
450,Campylobacter jejuni,CVM N16C316
451,Campylobacter jejuni,CVM N16C433
452,Campylobacter jejuni,CVM N16C436
453,Campylobacter jejuni,CVM N16C437
454,Campylobacter jejuni,CVM N16C578
455,Campylobacter jejuni,CVM N16C393
456,Campylobacter jejuni,CVM N16C272
457,Campylobacter jejuni,FSIS1605612
458,Campylobacter jejuni,FSIS1605634
459,Campylobacter jejuni,FSIS1605616
460,Campylobacter jejuni,FSIS1605622
461,Campylobacter jejuni,FSIS1605690
462,Campylobacter jejuni,FSIS1605700
463,Campylobacter jejuni,FSIS1605703
464,Campylobacter jejuni,FSIS1605698
465,Campylobacter jejuni,FSIS1605778
466,Campylobacter jejuni,FSIS1605791
467,Campylobacter jejuni,FSIS1605801
468,Campylobacter jejuni,FSIS1605783
469,Campylobacter jejuni,FSIS1605796
470,Campylobacter jejuni,FSIS1605776
471,Campylobacter jejuni,FSIS1605788
472,Campylobacter jejuni,FSIS1605790
473,Campylobacter jejuni,FSIS1605794
474,Campylobacter jejuni,FSIS1605797
475,Campylobacter jejuni,FSIS1605805
476,Campylobacter jejuni,FSIS1605785
477,Campylobacter jejuni,FSIS1605774
478,Campylobacter jejuni,FSIS1605800
479,Campylobacter jejuni,FSIS1605599
480,Campylobacter jejuni,CVM N17C689
481,Campylobacter jejuni,CVM N17C381
482,Campylobacter jejuni,CVM N17C778
483,Campylobacter jejuni,CVM N17C348
484,Campylobacter jejuni,CVM N17C362
485,Campylobacter jejuni,CVM N17C388
486,Campylobacter jejuni,CVM N17C395
487,Campylobacter jejuni,CVM N17C397
488,Campylobacter jejuni,CVM N17C373
489,Campylobacter jejuni,CVM N17C371
490,Campylobacter jejuni,CVM N17C407
491,Campylobacter jejuni,CVM N17C728
492,Campylobacter jejuni,CVM N17C828
493,Campylobacter jejuni,CVM N17C802
494,Campylobacter jejuni,CVM N17C781
495,Campylobacter jejuni,CVM N17C560
496,Campylobacter jejuni,CVM N17C556
497,Campylobacter jejuni,CVM N17C664
498,Campylobacter jejuni,CVM N17C410
499,Campylobacter jejuni,CVM N17C403
500,Campylobacter jejuni,CVM N17C278
501,Campylobacter jejuni,CVM N17C106
502,Campylobacter jejuni,CVM N17C171
503,Campylobacter jejuni,CVM N17C787
504,Campylobacter jejuni,CVM N17C682
505,Campylobacter jejuni,FSIS1606091
506,Campylobacter jejuni,FSIS1606105
507,Campylobacter jejuni,FSIS1606092
508,Campylobacter jejuni,FSIS1606101
509,Campylobacter jejuni,FSIS1606097
510,Campylobacter jejuni,FSIS1606036
511,Campylobacter jejuni,FSIS1606047
512,Campylobacter jejuni,FSIS1606044
513,Campylobacter jejuni,FSIS1606045
514,Campylobacter jejuni,FSIS1606056
515,Campylobacter jejuni,FSIS1606061
516,Campylobacter jejuni,FSIS1606037
517,Campylobacter jejuni,FSIS1606040
518,Campylobacter jejuni,FSIS1606059
519,Campylobacter jejuni,FSIS1606039
520,Campylobacter jejuni,FSIS1606111
521,Campylobacter jejuni,FSIS1606143
522,Campylobacter jejuni,FSIS1606106
523,Campylobacter jejuni,FSIS1606141
524,Campylobacter jejuni,FSIS1606142
525,Campylobacter jejuni,FSIS1606153
526,Campylobacter jejuni,FSIS1606249
527,Campylobacter jejuni,FSIS1605722
528,Campylobacter jejuni,FSIS1605713
529,Campylobacter jejuni,FSIS1605712
530,Campylobacter jejuni,FSIS1605716
531,Campylobacter jejuni,FSIS1605718
532,Campylobacter jejuni,FSIS1605725
533,Campylobacter jejuni,FSIS1605842
534,Campylobacter jejuni,FSIS1605839
535,Campylobacter jejuni,FSIS1605866
536,Campylobacter jejuni,FSIS1605856
537,Campylobacter jejuni,FSIS1605854
538,Campylobacter jejuni,FSIS1605849
539,Campylobacter jejuni,FSIS1605872
540,Campylobacter jejuni,FSIS1605868
541,Campylobacter jejuni,FSIS1605887
542,Campylobacter jejuni,FSIS1605890
543,Campylobacter jejuni,FSIS1605888
544,Campylobacter jejuni,FSIS1605843
545,Campylobacter jejuni,FSIS1605891
546,Campylobacter jejuni,FSIS1605921
547,Campylobacter jejuni,FSIS1605925
548,Campylobacter jejuni,FSIS1605878
549,Campylobacter jejuni,FSIS1605879
550,Campylobacter jejuni,FSIS1605883
551,Campylobacter jejuni,FSIS1605892
552,Campylobacter jejuni,FSIS1605940
553,Campylobacter jejuni,FSIS1605937
554,Campylobacter jejuni,FSIS1606000
555,Campylobacter jejuni,FSIS1606003
556,Campylobacter jejuni,FSIS1605950
557,Campylobacter jejuni,FSIS1605990
558,Campylobacter jejuni,FSIS1606163
559,Campylobacter jejuni,FSIS1606112
560,Campylobacter jejuni,FSIS1606239
561,Campylobacter jejuni,FSIS1606168
562,Campylobacter jejuni,FSIS1606241
563,Campylobacter jejuni,FSIS1605932
564,Campylobacter jejuni,FSIS1605933
565,Campylobacter jejuni,CVM N17C019
566,Campylobacter jejuni,CVM N17C624
567,Campylobacter jejuni,19LA05CB18C1
568,Campylobacter jejuni,19LA07CB24C1
569,Campylobacter jejuni,19NC09CB40_C
570,Campylobacter jejuni,19TN09CB18K-C1
571,Campylobacter jejuni,19MD07CB03-C
572,Campylobacter jejuni,19MD06CB25-C
573,Campylobacter jejuni,1
574,Campylobacter jejuni,2
575,Campylobacter jejuni,3
576,Campylobacter jejuni,4
577,Campylobacter jejuni,5
578,Campylobacter jejuni,6
579,Campylobacter jejuni,7
580,Campylobacter jejuni,8
581,Campylobacter jejuni,9
582,Campylobacter jejuni,10
583,Campylobacter jejuni,11
584,Campylobacter jejuni,12
585,Campylobacter jejuni,13
586,Campylobacter jejuni,14
587,Campylobacter jejuni,15
588,Campylobacter jejuni,16
589,Campylobacter jejuni,17
590,Campylobacter jejuni,18
591,Campylobacter jejuni,19
592,Campylobacter jejuni,20
593,Campylobacter jejuni,21
594,Campylobacter jejuni,22
595,Campylobacter jejuni,23
596,Campylobacter jejuni,24
597,Campylobacter jejuni,25
598,Campylobacter jejuni,26
599,Campylobacter jejuni,27
